epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
98,19699.6,0.70997,0.61028,1.07183,0.90176,0.914,0.9296,0.77195,0.72331,0.61561,1.10434,0.000514154,0.000514154,0.000514154
99,19911,0.72411,0.57868,1.07684,0.96658,0.90126,0.96072,0.79289,0.70556,0.51273,1.07099,0.000504723,0.000504723,0.000504723
100,20135.8,0.69644,0.58475,1.07211,0.97351,0.86296,0.9076,0.78426,0.74141,0.53977,1.11966,0.000495291,0.000495291,0.000495291
101,20349.3,0.71172,0.56971,1.06442,0.92629,0.85926,0.89825,0.76115,0.6678,0.6898,1.07547,0.00048586,0.00048586,0.00048586
102,20561.9,0.70091,0.57433,1.07077,0.96892,0.82113,0.91565,0.77215,0.75174,0.59909,1.158,0.000476429,0.000476429,0.000476429
103,20770.9,0.69622,0.57072,1.07319,0.96378,0.78171,0.88714,0.72463,0.83053,0.70507,1.19887,0.000466997,0.000466997,0.000466997
104,20983.7,0.73577,0.5869,1.07311,0.97265,0.88243,0.90999,0.76497,0.71515,0.5911,1.05689,0.000457566,0.000457566,0.000457566
105,21192.9,0.72372,0.56477,1.07871,0.93368,0.84246,0.90594,0.74292,0.70745,0.69946,1.08917,0.000448134,0.000448134,0.000448134
106,21398.9,0.71728,0.55941,1.06427,0.94435,0.78433,0.89689,0.74162,0.78955,0.80081,1.13984,0.000438703,0.000438703,0.000438703
107,21609.3,0.69214,0.54952,1.0574,0.921,0.91973,0.9569,0.79155,0.70255,0.50625,1.04425,0.000429272,0.000429272,0.000429272
108,21820.8,0.69389,0.55896,1.05621,0.97824,0.90629,0.94766,0.79,0.70392,0.5106,1.07473,0.00041984,0.00041984,0.00041984
109,22037.4,0.67705,0.5439,1.05752,0.95178,0.88905,0.93652,0.77436,0.72208,0.53544,1.07622,0.000410409,0.000410409,0.000410409
110,22248.5,0.67383,0.54562,1.05204,0.88991,0.89628,0.91643,0.77321,0.75714,0.63855,1.11326,0.000400977,0.000400977,0.000400977
111,22457.5,0.69535,0.56289,1.06864,0.89272,0.86296,0.93932,0.76237,0.76179,0.54847,1.11644,0.000391546,0.000391546,0.000391546
112,22665,0.68331,0.54836,1.06699,0.93369,0.83854,0.92166,0.77214,0.76841,0.5782,1.14329,0.000382115,0.000382115,0.000382115
113,22871.2,0.67748,0.53201,1.05964,0.97819,0.8384,0.9202,0.77309,0.71123,0.58443,1.0975,0.000372683,0.000372683,0.000372683
114,23077.1,0.64656,0.51849,1.04554,0.98363,0.83391,0.91296,0.74921,0.71572,0.58677,1.11853,0.000363252,0.000363252,0.000363252
115,23283.8,0.66124,0.53211,1.05449,0.95355,0.89004,0.93234,0.76471,0.78272,0.55752,1.13273,0.00035382,0.00035382,0.00035382
116,23488.8,0.66474,0.52142,1.0458,0.96175,0.8471,0.92776,0.76155,0.78889,0.56414,1.144,0.000344389,0.000344389,0.000344389
117,23694.7,0.65644,0.51635,1.03611,0.9671,0.84271,0.90701,0.7564,0.75408,0.6183,1.11784,0.000334958,0.000334958,0.000334958
118,23901.3,0.65567,0.5101,1.04605,0.96809,0.86609,0.93674,0.77864,0.72879,0.52759,1.06903,0.000325526,0.000325526,0.000325526
119,24107.5,0.66545,0.52213,1.04226,0.97129,0.87163,0.93725,0.7748,0.78044,0.51296,1.09211,0.000316095,0.000316095,0.000316095
120,24311.1,0.64202,0.48598,1.02807,0.94499,0.87487,0.92339,0.76631,0.78451,0.5828,1.12206,0.000306663,0.000306663,0.000306663
121,24513.4,0.65143,0.49412,1.0473,0.97393,0.8612,0.92574,0.77972,0.67828,0.4955,1.01275,0.000297232,0.000297232,0.000297232
122,24714.7,0.64,0.50743,1.04665,0.98188,0.80241,0.90374,0.76407,0.71401,0.61925,1.0684,0.000287801,0.000287801,0.000287801
